Branch,Talker,Event,Content,Key,Part
0,Manager,,상대가 강하지 않은 만큼 쉽게 이길 수 있을거야.,,
0,Manager,,처음이라고 긴장하지 말고 침착하게 가자!,,
0,,CameraMoveToTarget,PlayerLeader,,
0,,SetTimer,1,,
0,Manager,,여기 보이는게 아군 선수들이야!,,
0,Manager,,기본적인 규칙은 한 팀의 모든 선수들의 행동이 끝나면#다음 팀이 행동을 시작해.,,
0,Manager,,마찬가지로 다음 팀의 모든 선수들의 행동이 끝나면#다시 처음 팀이 행동을 시작하는 걸 반복해.,,
0,Manager,,각 선수들은 먼저 이동을 하고 행동을 선택할 수 있어.,,
0,Manager,,잘못된 위치로 이동 했을 경우 마우스 우클릭을 이용하여 이동을 되돌릴 수는 있지만,,
0,Manager,,이동 후 행동까지 완료하여 선수의 턴이 끝난 이후에는 되돌릴 수 없으니 행동은 신중하게 해야해.,,
0,Manager,,다음으로 이 스포츠에서 가장 중요한 것은 공이야.,,
0,,CameraMoveToBall,,,
0,,SetTimer,1,,
0,Manager,,저기 보이는 게 공이야.,,
0,Manager,,공이 있는 칸으로 이동을 하면 공을 주울 수가 있어.,,
0,Manager,,이 스포츠에서는 기본적으로 공이 있어야 상대방을 공격할 수 있어.,,
0,Manager,,경기에서 승리하기 위해서는 공으로 적을 공격하여 HP를 0이하로 만들어야해.,,
0,Manager,,만약 상대방이 공을 들고 턴을 끝냈으면 방해하기라는 행동으로 상대방이 공을 떨구도록 방해할 수 있어.,,
0,,CameraMoveToTarget,Marilyn,,
0,,SetTimer,0.75,,
0,,CameraMoveToTarget,Marzen,,
0,,SetTimer,0.75,,
0,Manager,,여기 보이는게 상대 선수들이야.,,
0,Manager,,상대 선수나 아군 선수 위에 마우스를 올리면 스테이터스를 확인할 수 있어.,,
0,Manager,,스테이터스를 보면 마르젠은 방어력이 높고#마릴린은 방어력이 낮아.,,
0,Manager,,즉 마르젠은 마릴린보다 공격에 잘 견딘다는 소리지.,,
0,Manager,,하지만 마르젠을 꼭 아웃시킬 필요는 없어,,
0,Manager,,이 스포츠의 정확한 승리 조건은 적의 리더를 아웃시키는 것이야,,
0,,CameraMoveToTarget,Marilyn,,
0,,SetTimer,0.75,,
0,Manager,,마릴린의 옆에 별이 보이지? 저게 리더라는 표시야,,
0,Manager,,즉 상대방의 리더인 마릴린만 아웃시키면 우리들의 승리라는 거지.,,
0,Manager,,참고로 리더의 체력은 전투시 나오는 상단UI의 체력바로도 확인 할 수가 있어.,,
0,,CameraMoveToTarget,PlayerLeader,,
0,,SetTimer,0.75,,
0,Manager,,마지막으로 화면 이동은 키보드의 WASD키를 이용해서 할 수 있어.,,
0,Manager,,자 어렵지 않으니까 빨리가서 실력차이를 보여주자고!,,
