Branch,Talker,Event,Content,Key,Part
0,,CameraMoveToTarget,Ray,,
0,,SetTimer,0.75,,
0,Ray,,준비가 모두 끝났습니다! 모두 저를 따라 주세요!,,
0,Ray,SetEffectByName,3,,
0,,SetTimer,1,,
0,,SetAllPlayerCharacterEffect,19,,
0,,SetTimer,1,,
0,Manager,,레이의 스킬 마인드 컨트롤로 인하여 아군 모두의 감정상태가 냉정이 되었어!,,
0,Manager,,같은 감정을 가진 아군이 여러명 있으면 특수한 효과가 나타나.,,
0,Manager,,열정이나 분노일때는 스테이터스가 상승하는 효과가 나타나고,,
0,Manager,,냉정이 5명 모이면 매 턴 마다 모든 상태변화를 해제하는 효과가 나타나.,,
0,Manager,,감정은 SP를 통해서 변화 시킬 수 있어.,,
0,Manager,,SP는 일부 행동에 의해 변화하거나#스킬을 통해 사용 변화 시킬 수 있어.,,
0,Manager,,또 일부 스킬을 사용하려면 감정이 스킬에서 요구하는 감정과 맞아야해.,,
0,Manager,,즉 이 스포츠에서 이기려면 감정(SP)조절이 중요해.,,
0,Manager,,자 백문이 불여일견이라고 이제부터 스킬 사용이 가능하니까 가서 마음껏 날뛰어봐! ,,
0,,CameraMoveToTarget,Ray,,
0,,SetTimer,0.75,,
0,Ray,,자바르니님 디버프 3중 콤보라고 하셨나요?,,
0,Ray,SetEffectByName,3,,
0,,SetTimer,1,,
0,Ray,,지금 그대로 돌려드릴게요.,,
0,,SetAllEnemyCharacterEffect,18,,
0,,SetTimer,1,,
