Branch,Talker,Event,Content,Key,Part
0,Manager,AddTalker,1,,
0,,PlaySE,Walk,,
0,Manager,,여기가 감독실이야.,,
0,Manager,,여기서는 경기를 시작하기전 사전 준비를 할 수가 있어.,,
0,,SetTutorialMode,,,
0,,SetTutorialArrow,MenuButton,,
0,,,여기 메뉴라고 적힌 버튼 보이지?,,
0,,,이 버튼을 누르거나 ESC키를 누르면 메뉴를 열 수 있어.,,
0,,SetTutorialArrow,CharacterStatusButton,,
0,,,다음은 여기 보이는 스테이터스 버튼이야.,,
0,,,이 버튼을 누르면 현재 팀에 있는 선수들의 능력치를 볼 수 있어.,,
0,,TutorialArrowEnd,,,
0,,,다음으로 화면 왼쪽에 앉아있는 나를 클릭하면 간단한 이야기를 들을 수 있어.,,
0,,SetTutorialArrow,SetStageButton,,
0,,,마지막은 여기 경기 준비라고 적힌 버튼이야.,,
0,,,이 버튼을 누르면 다음 경기를 진행 할 수 있어.,,
0,,SetTutorialModeEnd,,,
0,Manager,,뭐... 더 다양한 것들이 있지만 우선 입단테스트가 끝나고 알려 줄게,,
0,Manager,,준비가 끝나면 경기 시작 버튼을 눌러서 부잣집 아가씨에게 현실은 만만하지 않다는 걸 보여주러 가자!,,
0,,RemoveTalker,1,,
