Branch,Talker,Event,Content,Key,Part
0,Manager,AddTalker,1,,
0,,PlaySE,Walk,,
0,Manager,,경기 수고했어.,,
0,Manager,,그래도 리그에 출전하기 위한 최소 출전명단 수는 채웠으니 다행이라고 해야겠지.,,
0,Manager,,아 참!#그러고 보니 아까 바쁘다고 설명하지 못한 것들이 있었지!,,
0,,SetTutorialMode,,,
0,,SetTutorialArrow,D_DayUI,,
0,,,좌측 상단에 다음경기라고 적힌 UI보이지?,,
0,,,저기 적힌게 다음 경기까지 남은 일 수야. ,,
0,,,지금은 3이라 적혀있으니까 지금으로부터 3일이 지나면 D_Day가 돼.,,
0,,,숫자가 0까지 줄어서 D_Day가 되면 그날은 공식 경기가 있거나 사전에 잡아둔 경기가 있는 날이야,,
0,,,그래서 그 날은 경기를 해야만 해.,,
0,,SetTutorialArrow,TeamInformUI,,
0,,,다음으로 우측 상단에 보이는게 팀의 체력 상황과 보유한 돈이야.,,
0,,,휴식 외의 행동을 하면 팀 체력을 소모하게 되고,,
0,,,팀 체력이 낮아지면 아군 선수들은 체력(HP)가 내려간 상태로 경기를 치뤄야해. ,,
0,,,한마디로 D_Day가 오기 전까지 체력을 잘 관리해 주는게 중요해!,,
0,,,돈은 지금 당장으로서는 트레이닝 하는데 쓸 수 있어.,,
0,,SetTutorialArrow,TrainingButton,,
0,,,하단에 보이는게 트레이닝 버튼이야.,,
0,,,이 버튼을 누르면 트레이닝을 진행할 수 있어.,,
0,,,트레이닝에서 사용할 수 있는 금액은 1000골드 이상의 자유금액으로 설정 가능해!,,
0,,,트레이닝을 진행하면 팀의 체력이 낮아지고 골드가 소모되며 날이 하루 지나지만,,
0,,,그대신 선택한 능력치의 경험치를 올려서 스테이터스를 상승 시킬 수 있어!,,
0,,,단점을 보완 할 건지 장점을 극대화 할 건지는 감독인 네 선택에 달렸어!,,
0,,SetTutorialArrow,SetStageButton,,
0,,,다음으로는 경기 시작 버튼이야.,,
0,,,D_Day가 오기 전에 경기 시작버튼을 누르면 친선경기를 진행 할 수 있어!,,
0,,,친선 경기에서 진다고 게임오버가 되거나 하지는 않지만,,
0,,,결과에 상관없이 팀 체력이 소모되고 하루가 지나게 돼,,
0,,SetTutorialArrow,RestButton,,
0,,,마지막으로 여기에 보이는게 휴식버튼이야.,,
0,,,이 버튼을 눌러서 휴식을 하게 되면 하루가 지나게 되지만 팀 체력이 회복하게 돼,,
0,,SetTutorialModeEnd,,,
0,Manager,,이상으로 내가 말해줄 건 다 말해준거 같네,,
0,Manager,,앞으로 3일 뒤에 친선경기 일정이 있으니까 잘 준비해 두라고!,,
0,,RemoveTalker,1,,
