Branch,Talker,Event,Content,Key,Part
0,,StopBGM,,,part1
0,,,대화 넘기기: 마우스 좌 클릭 or SpaceBar키#대화 빠르게 넘기기: 좌 CTRL키  길게 누르기 ,,
0,,,스포츠..... ,,
0,,,그것은 단순하고도 복잡한 규칙 속에서#전략적인 혹은 개인의 판단을 토대로 몸과 머리를 사용하여 상대방과 자웅을 겨루는 행위,,
0,,,우리들은 이 간단하고도 복잡한 행위 속에서#기쁨을 느끼기도 하고#슬픔을 느끼기도 한다.,,
0,,,또한 우리들은 경쟁심을 느끼기도 하고#누군가에게 혹은 자신에게 분노를 느끼기도 한다.,,
0,,,작고도 작은 놀이가 수많은 사람들의 감정을 움직이게 한다.,,
0,,,이는 지켜보고 있는 관객들만이 아닌 경기장에서 달리고 있는 선수들에게도 해당하는 말이다.,,
0,,,우리들은 인류의 역사와 함께 이어져 온 이 행위를 분석한 결과 감정을 지배하는 자가 경기에서 승리할 수 있다는 결론에 도달했다.,,
0,,,그리하여 우리들은 스포츠를 '감정 스포츠'라는 또 다른 이명으로도 칭하기로 했다.,,
0,White,FadeOut,0,,
0,,FadeIn,0.75,,
0,,,지난 86년간 이어져 온 리그의 역사#그 리그에 속한 명문 팀 '레이븐'#그곳의 신임 감독으로 부임한 걸 축하한다.,,
0,,,팀의 상황이 상황인지라 쉽지 않은 길이 되겠지만#앞길에 무운을 빌어주도록 하겠네.,,
0,,,그럼 앞으로 잘해보게나!,,
0,Black,FadeOut,0,,
0,Manager,AddTalker,1,,
0,Manager,ChangeFace,3,,
0,,ChangeBackground,Training,,
0,,FadeIn,0.75,,
0,,ChangeBGM,Opening,,
0,,StartBGM,,,
0,Manager,,반가워 당신이 이번에 우리 팀에 부임하기로 한 감독이지?,,
0,Manager,,당신 처음 보는 얼굴인데 이전에 감독을 해 본 경험은 있어?,,
0,,TalkerBack,,,
0,,,....,,
0,Manager,ChangeFace,2,,
0,Manager,,뭐? 이전에 감독을 해본 경험이 없다고...?,,
0,Manager,,(아무리 우리 팀이 위기여도 그렇지...#구단주는 어째서 완전 초짜를 감독으로 데려온 거야!),,
0,Manager,,현재 팀의 상황에 대해서 듣고 싶다고?,,
0,Manager,ChangeFace,4,,
0,Manager,,감독이면서 팀 사정을 사전에 조사도 안 해 온 거야?,,
0,Manager,ChangeFace,1,,
0,Manager,,이번만 특별히 설명해 줄 테니 열심히 새겨듣도록 해!,,
0,Manager,,작년 우리 팀은 우승하기 위해서 큰돈을 풀어서 이름있는 선수들을 대거 영입했어.,,
0,Manager,,하지만 선수들의 합이 맞지 않아서 팀 성적은 하위권으로 떨어졌어.,,
0,Manager,,팀이 플레이오프에 진출하지 못하자 많은 선수들이 떠나갔고,,
0,Manager,,팀의 재정은 크게 악화되어 이번 시즌은 유소년 선수를 끌어다 쓸 처지에 놓였지.,,
0,Manager,,뭐... 유소년 선수들이라고 너무 걱정하지는 말아줬으면 해!,,
0,Manager,,최고 수준을 자랑하는 우리 팀 유스가 낳은 최고의 재능들이거든,,
0,Manager,,그러니까 경험을 쌓기 시작하면 아무도 막을 수 없는 선수가 될 거라고 나는 자신해!,,
0,Manager,,이제 선수들을 만나 보고 싶다고?,,
0,Manager,,알겠어! 선수들을 불러올 테니 조금만 기다려.,,
0,,FadeOut,1,,
0,,PlaySE,Walk,,
0,,SetTimer,1.5,,
0,,PlaySE,Walk,,
0,,SetTimer,0.5,,
0,,RemoveTalker,1,,
0,Ria,AddTalker,0,,
0,Karl,AddTalker,2,,
0,Ray,AddTalker,1,,
0,,TalkerBack,,,
0,,FadeIn,1,,
0,매니저,,자 세계에서 가장 뛰어난 재능을 지닌 우리 팀 3인을 데려왔어!,,
0,매니저,,왼쪽부터 리아 레이 카를이야.,,
0,매니저,,자 애들아 저분이 이번에 새로 부임한 감독이야.,,
0,Ray,,레이입니다.,,
0,Ria,ChangeFace,3,,
0,Ria,,리아에요~.,,
0,Karl,ChangeFace,3,,
0,Karl,,내 이름은 카를#앞으로 잘부탁해!,,
0,,TalkerBack,,,
0,매니저,,자자 애들아 나는 새로 부임한 감독에게 시설들을 설명하고 올 테니 훈련장에서 자율 훈련 하고 있어!,,
0,3인,,네.#네에-#네!,,
0,,PlaySE,Walk,,
0,,RemoveTalker,0,,
0,,RemoveTalker,1,,
0,,RemoveTalker,2,,
0,Manager,AddTalker,1,,
0,Manager,ChangeFace,3,,
